timestamp,deployment,movable,target_node,replicas,ready_replicas,available_replicas
2026-04-17T20:02:33.801389+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:33.801389+00:00,db-service,false,,1,1,1
2026-04-17T20:02:33.801389+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:33.801389+00:00,loadgen,false,,1,1,1
2026-04-17T20:02:33.801389+00:00,logger-service,true,,1,1,1
2026-04-17T20:02:33.801389+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:02:33.801389+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:49.057539+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:49.057539+00:00,db-service,false,,1,1,1
2026-04-17T20:02:49.057539+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:02:49.057539+00:00,loadgen,false,,1,1,1
2026-04-17T20:02:49.057539+00:00,logger-service,true,,1,1,1
2026-04-17T20:02:49.057539+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:02:49.057539+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:03:04.320135+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:03:04.320135+00:00,db-service,false,,1,1,1
2026-04-17T20:03:04.320135+00:00,gateway,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:03:04.320135+00:00,loadgen,false,,1,1,1
2026-04-17T20:03:04.320135+00:00,logger-service,true,,1,1,1
2026-04-17T20:03:04.320135+00:00,network-rescheduler,false,,1,1,1
2026-04-17T20:03:04.320135+00:00,user-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:03:19.679481+00:00,auth-service,true,anshul-hp-pavilion-gaming-laptop-15-dk0xxx,1,1,1
2026-04-17T20:03:19.679481+00:00,db-service,false,,1,1,1
